1_F_COD_P;1_F_COD_M;ID_MUNICIPIO;ID_UNGS;ID_UTPMP;1_FECHAC;1_ENC_CARGA;1_ENC_REPP;2_PARTIDO;2_LOC;2_NBARRIO_OF;2_NBARRIO_A1;2_NBARRIO_A2;2_AÑO;2_SUP_HA;2_CANT_FLIA;2_TIPO_BARRIO;2_OBS_DUDOSOS;2_TIPO_DUD;2_JUD;2_DIREC;2_REF_BARRIO;UI1;UI1_NUM_PROV;UI1_NUM_DEF;UI1_NEXP;4_E_LIBRE;4_EQUIP_US-H;4_EQUIP_JI;4_EQUIP_EP;4_EQUIP_ES;4_EQUIP_COM;4_EQUIP_ZOOM;4_EQUIP_O;4_TP_COLE;4_TP_FFCC;4_TP_REM-COM;4_ISU_EEMI;4_ISU_EEMC;4_ISU_APUB;4_ISU_AC;4_ISU_AP;4_ISU_RC;4_ISU_EXC;4_ISU_GAS;4_ISU_PAV;4_ISU_CC;4_ISU_PLUV;4_ISU_RR;4_ORG_PART;4_CONT_REF_N;4_CONT_REF_T;4_SAMB_SPROB;4_SAMB_RE;4_SAMB_INUN;4_SAMB_TFERROV;4_SAMB_CSIR;4_SAMB_CIND;4_SAMB_SD;4_SITU_AMB_O;UI3_INF_URB;UI3_INF_URB_FECHA;UI3_CENSO;UI3_CENSO_FECHA;5_PROC_REG;5_ENC_LEG_D2225/95;5_ENC_LEG_D4686/96;5_ENC_LEG_D815/89;5_ENC_LEG_L243374;5_ENC_LEG_L23073;5_ENC_LEG_EXP;5_ENC_LEG_EXP_NUM;5_ENC_LEG_O;5_AI;5_AIPUB_IVIV;5_AIPUB_INF;5_AIPUB_EQUIP;5_ANT_IPUB_O;5_ORG_INAC;5_ORG_INAPROV;5_ORG_INAMUN;5_ORG_IPROG;5_ORG_IFECHA;UI4_PLANO;UI4_PFECHA;UI4_CIRC10;UI4_GEO_PART;UI4_GEO_NUM;UI4_GEO_AÑO;UI4_REG_LEG;UI4_REG_FOLIO;UI4_REG_FECHA;UI4_EPR;UI4_REG_14449;E_REV;Recorridos de la subsecretaría (fecha);OBSERVACIONES;ID_FOLIO;ESTADO
136;0001;;;;01/09/2014;UNGS-SSTUV;sin dato;Ituzaingo;;1 de Julio;;;1989;1,20;40;Otro;Barrio;Asentamiento consolidado;Sin dato;La Piedad, Los Mayas, Antofagasta, Darwin ;sin dato;Inscripción provisoria;;;;No;Distante > 1 km;Próximo al barrio;Próximo al barrio;Próximo al barrio;Sin dato;Sin dato;;Próximo al barrio;Distante > 1 km;Sin dato;Cobertura total;inexistente;Cobertura parcial;inexistente;Sin dato;inexistente;Sin dato;Cobertura parcial;Cobertura parcial;Cobertura parcial;inexistente;Cobertura total;;;;Si;No;No;No;No;No;No;;;;;;Sin dato;Sin dato;Sin dato;Si;Sin dato;Sin dato;Sin dato;;;;Sin dato;Sin dato;Sin dato;;No;Sin dato;Sin dato;;;;;;;;;;;;;;a foliar;;VIVIENDA=FLIA / Agua - Motor / hay equipamiento no se identifica que es;1360001;Notificacion
136;0002;;;;01/09/2014;SSTUV;sin dato;Ituzaingo;;8 de Julio;;;decada del 90;0,33;20;Otro;Barrio;Asentamiento consolidado;Sin dato;Aguaribay, Int. Perez Quintana y Ombu;sin dato;Inscripción provisoria;;;;No;Próximo al barrio;Próximo al barrio;Próximo al barrio;Próximo al barrio;Sin dato;Sin dato;;Distante > 1 km;Próximo al barrio;Sin dato;Cobertura total;inexistente;Cobertura total;inexistente;Cobertura total;inexistente;Sin dato;Cobertura total;Cobertura parcial;Cobertura parcial;Cobertura parcial;Cobertura parcial;;;;Si;No;No;No;No;No;No;;Sin dato;;;;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;;;;Sin dato;Sin dato;Sin dato;;Sin dato;Sin dato;Sin dato;;;;;;;;;;;;;;a foliar;;;1360002;Notificacion
136;0003;;;;01/09/2014;UNGS-SSTUV;sin dato;Ituzaingo;;9 de Julio;;;1992;1,45;42;Otro;Barrio;Asentamiento consolidado;Sin dato;Albert Schweitzer, Ayolas, Haiti, Colombia;sin dato;Inscripción provisoria;;;;No;Próximo al barrio;Próximo al barrio;Próximo al barrio;Próximo al barrio;Sin dato;Sin dato;;Dentro del barrio;Dentro del barrio;Sin dato;Cobertura total;inexistente;Cobertura parcial;inexistente;Cobertura total;inexistente;Sin dato;inexistente;inexistente;inexistente;inexistente;Cobertura parcial;;;;No;No;Si;No;No;No;No;;Si;14/05/2014;;;Sin dato;Sin dato;Sin dato;Sin dato;Si;Sin dato;Si;12571;;;Sin dato;Sin dato;Sin dato;;Sin dato;Sin dato;Sin dato;;;;;;;;;;;;;;a foliar;;Vivienda=Flia / Agua - Motor;1360003;Notificacion
136;0004;;;;01/09/2014;UNGS-SSTUV;sin dato;Ituzaingo;;Amigos de 2 de febrero;;;1989;0,65;47;Otro;Barrio;Asentamiento consolidado;Sin dato;Almagro, Tel Avid, Coronel S. Rosas, San Fernando;sin dato;Inscripción provisoria;;;;No;Próximo al barrio;Próximo al barrio;Próximo al barrio;Próximo al barrio;Sin dato;Sin dato;;Próximo al barrio;Distante > 1 km;Sin dato;Cobertura total;inexistente;Sin dato;inexistente;Cobertura total;inexistente;Sin dato;inexistente;inexistente;inexistente;Sin dato;Sin dato;;;;Si;No;No;Sin dato;Sin dato;No;No;posibilidad de inundación barrio e/ dos cotas;;;;;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;;;;Sin dato;Sin dato;Sin dato;;Sin dato;Sin dato;Sin dato;;;;;;;;;;;;;;a foliar;;Vivienda=Flia / Agua - comunitaria/ hay equipamiento no se identifica que es;1360004;Notificacion
136;0005;;;;01/09/2014;UNGS-SSTUV;sin dato;Ituzaingo;;Atalaya;;;1980;1,46;25;Otro;Villa;Informalidad dispersa;Sin dato;Italo Botti, Spilimbergo, Cuyo, Caaguazu;sin dato;Inscripción provisoria;;;;No;Próximo al barrio;Próximo al barrio;Próximo al barrio;Próximo al barrio;Sin dato;Sin dato;;Dentro del barrio;Próximo al barrio;Sin dato;Cobertura total;inexistente;Cobertura total;inexistente;Cobertura total;inexistente;Sin dato;inexistente;Cobertura parcial;Cobertura parcial;Cobertura parcial;Cobertura parcial;;;;Si;No;No;No;No;No;No;cercania a arroyo;;;;;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;;;;Sin dato;Sin dato;Sin dato;;Sin dato;Sin dato;Sin dato;;;;;;;;;;;;;;a foliar;;Vivienda=Flia/ Agua - Tanque comunitario;1360005;Notificacion
136;0006;;;;01/09/2014;UNGS-SSTUV;sin dato;Ituzaingo;;Escuela 32;;;1994;0,26;9;Otro;Barrio;Menor a la unidad minima (10 habitantes, 0,25 hectareas);Sin dato;Patagonia, San Isidro, Tel Aviv,  Portugal;sin dato;No corresponde inscripción;;;;;;;;;;;;;;;Cobertura total;inexistente;Sin dato;inexistente;Cobertura total;;;Cobertura parcial;inexistente;;;;;;;;;;;;;;;Sin dato;;;;;;;;;;Sin dato;;;;;;;;;;;;;;;;;;;;;;;;no reune condiciones de inscripción;;Vivienda=Flia / Agua - Motor;1360006;No corresponde inscripcion
136;0007;;;;30/10/2014;SSTUV;sin dato;Ituzaingo;;Barrio Nuevo;;;2009;0,36;15;Asentamiento precario;;Villa/Asentamiento;Sin dato;Chimbora, Santos Vega,  Del Pretal;sin dato;Inscripción provisoria;;;;Si;Próximo al barrio;Próximo al barrio;Próximo al barrio;Próximo al barrio;Sin dato;Sin dato;;Próximo al barrio;Distante > 1 km;Sin dato;inexistente;Sin dato;Cobertura parcial;inexistente;Cobertura total;inexistente;Sin dato;inexistente;Cobertura parcial;inexistente;inexistente;Cobertura parcial;;;;Si;No;No;No;No;No;No;;Sin dato;;;;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;;;;Sin dato;Sin dato;Sin dato;;Sin dato;Sin dato;Sin dato;;;;;;;;;;;;;;a foliar;;;1360007;Notificacion
136;0008;;;;01/09/2014;UNGS-SSTUV;sin dato;Ituzaingo;;Buen Ayre;;;1989;2,64;113;Otro;Villa/Asentamiento;Asentamiento consolidado;Sin dato;del Cabestro, Tabare, N.Alsina, D. Nicolas Repeto;sin dato;Inscripción provisoria;;;;No;Próximo al barrio;Próximo al barrio;Próximo al barrio;Próximo al barrio;Sin dato;Sin dato;;Dentro del barrio;Distante > 1 km;Sin dato;Cobertura total;inexistente;Cobertura parcial;inexistente;Cobertura total;inexistente;Sin dato;inexistente;Cobertura parcial;Cobertura parcial;Cobertura parcial;Cobertura total;;;;Si;No;No;No;No;No;No;a 300 m de arroyo, 200 m de electroducto;Si;00/09/2010;;;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Si;12.280/12.259;;;Sin dato;Sin dato;Sin dato;;Sin dato;Sin dato;Sin dato;;;;;;;;;;;;;;a foliar;;Vivienda=Flia / Agua- Motor y T. Comunitario;1360008;Notificacion
136;0009;;;;01/09/2014;UNGS-SSTUV;sin dato;Ituzaingo;;Campo de Traverso;;;1986;0,12;4;Otro;Villa;Menor a la unidad minima (10 habitantes, 0,25 hectareas);Sin dato;Ral. Fernandez de la Cruz, Francisco Esperanza, El Delta, Nicasio Orono;sin dato;No corresponde inscripción;;;;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;;Sin dato;Sin dato;Sin dato;Cobertura total;inexistente;Sin dato;inexistente;Cobertura total;Sin dato;Sin dato;inexistente;Cobertura total;Sin dato;Sin dato;Sin dato;;;;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;;Sin dato;;;;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;;;;Sin dato;Sin dato;Sin dato;;Sin dato;Sin dato;Sin dato;;;;;;;;;;;;;;no reune condiciones de inscripción;;Vivienda=Flia / Agua- Motor ;1360009;No corresponde inscripcion
136;0010;;;;01/09/2014;UNGS-SSTUV;sin dato;Ituzaingo;;El Destino;;;1980;0,12;7;Otro;Barrio;Menor a la unidad minima (10 habitantes, 0,25 hectareas);Sin dato;El Chacho, Facundo, El rancho, Dr. Nicolas Repetto;sin dato;No corresponde inscripción;;;;Si;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;;Sin dato;Sin dato;Sin dato;Cobertura total;inexistente;Sin dato;inexistente;Cobertura total;Sin dato;Sin dato;Cobertura parcial;Cobertura total;Sin dato;Sin dato;Sin dato;;;;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;;Sin dato;;;;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;;;;Sin dato;Sin dato;Sin dato;;Sin dato;Sin dato;Sin dato;;;;;;;;;;;;;;no reune condiciones de inscripción;;Vivienda=Flia/ Agua - Motor;1360010;No corresponde inscripcion
